CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42 Coin,Scrypt,True,PoW/PoS,41.99995383,42
404Coin,Scrypt,True,PoW/PoS,1055184902.04,532000000
808,SHA-256,True,PoW/PoS,0.0,0
EliteCoin,X13,True,PoW/PoS,29279424622.5027,314159265359
Bitcoin,SHA-256,True,PoW,17927175.0,21000000
Ethereum,Ethash,True,PoW,107684222.6865,0
Litecoin,Scrypt,True,PoW,63039243.30000489,84000000
Dash,X11,True,PoW/PoS,9031294.37563393,22000000
Monero,CryptoNight-V7,True,PoW,17201143.1449131,0
Ethereum Classic,Ethash,True,PoW,113359703.0,210000000
ZCash,Equihash,True,PoW,7383056.25,21000000
Bitshares,SHA-512,True,PoS,2741570000.0,3600570502
DigiByte,Multiple,True,PoW,11406219141.0,21000000000
BitcoinDark,SHA-256,True,PoW/PoS,1288862.0,22000000
Bitstake,X11,True,PoW/PoS,0.0,1300000
PayCoin,SHA-256,True,PoS,11995334.8847328,12500000
ProsperCoin,Scrypt,True,PoW,5768310.0,21000000
KoboCoin,X15,True,PoW/PoS,25542535.5881841,350000000
Spreadcoin,X11,True,PoW,11149733.9976203,20000000
ACoin,SHA-256,True,PoW,0.0,1600000
Aero Coin,X13,True,PoS,0.0,7000000
ApexCoin,X13,True,PoW/PoS,0.0,6000000
ArchCoin,Scrypt,True,PoS,0.0,16403135
Argentum,Scrypt,True,PoW,12205795.444954902,64000000
Aurora Coin,Scrypt,True,PoW/PoS,18135099.992959,16768584
BetaCoin,SHA-256,True,PoW,0.0,32000000
BlueCoin,Scrypt,True,PoW/PoS,635423900.0,0
MyriadCoin,Multiple,True,PoW,1688254250.0,2000000000
MoonCoin,Scrypt,True,PoW,88.0,384000000000
ZetaCoin,SHA-256,True,PoW,170204389.754849,169795588
SexCoin,Scrypt,True,PoW,128940951.183046,250000000
Quatloo,Scrypt,True,PoW,7357794.7925,100000000
EnergyCoin,Scrypt,True,PoW/PoS,123062801.128773,0
QuarkCoin,Quark,True,PoW,259557164.91477,247000000
Riecoin,Groestl,True,PoW,49548585.14129171,84000000
Digitalcoin ,Scrypt,True,PoW,33442988.3440364,48166000
LimeCoinX,X11,True,PoW,0.0,21000000 
BitBar,Scrypt,True,PoW/PoS,42579.476901,500000
BitMark,Scrypt,True,PoW,0.0,27580000
CashCoin,Scrypt,True,PoW/PoS,0.0,47433600
Catcoin,Scrypt,True,PoW,7219956.64626131,21000000 
CryptoBullion,Scrypt,True,PoW/PoS,1039116.65144562,1000000
CannaCoin,Scrypt,True,PoW,4703879.51824446,13140000
CinderCoin,Multiple,True,PoW/PoS,0.0,114000000
CoolCoin,Scrypt,True,PoS,0.0,100000000
CryptCoin,X11,True,PoW,4996986.20575291,18000000
CasinoCoin,Scrypt,True,PoC,39999997299.8568,40000000000
eMark,SHA-256,True,PoW/PoS,0.0,0
Diamond,Groestl,True,PoW/PoS,3304487.74735637,4380000
Verge,Multiple,True,PoW,15929530669.1206,16555000000
DarkCash,X11,True,PoW/PoS,0.0,3720000
DarkShibe,Scrypt,True,PoW,0.0,2043962
DevCoin,SHA-256,True,PoW,18773857500.0,21000000000
EarthCoin,Scrypt,True,PoW,12539015186.821999,13500000000
E-Gulden,Scrypt,True,PoW,20910478.806249898,21000000 
Elacoin,Scrypt,True,PoW,0.0,75000000
Einsteinium,Scrypt,True,PoW,218871896.499999,299792458
Emerald,Scrypt,True,PoW,19496786.31025,32000000
Exclusive Coin,PoS,True,PoS,5679705.0,0
Flappy Coin,Scrypt,True,PoW,0.0,100000000000
Fuel2Coin,X11,True,PoS,0.0,100000000
FIBRE,NIST5,True,PoW/PoS,0.0,624000
FireRoosterCoin,SHA-256,True,PoW,0.0,2602410
FlutterCoin,Scrypt,True,PoS/PoW/PoT,461829905.32892996,0
Franko,Scrypt,True,PoW,1142732.14912776,11235813
FeatherCoin,NeoScrypt,True,PoW,208669093.00773,336000000
GrandCoin,Scrypt,True,PoW,884125802.0,1420609614
GlobalCoin,Scrypt,True,PoW,65672720.470874794,70000000
GoldCoin,Scrypt,True,PoW,41658647.9999715,72245700
GlyphCoin,X11,True,PoW/PoS,0.0,7000000
Halcyon,X15,True,PoW/PoS,0.0,0
HoboNickels,Scrypt,True,PoW/PoS,89266933.684704,120000000
HunterCoin,Multiple,True,PoW,0.0,42000000
HyperStake,X11,True,PoS,1678520090.7713,0
Infinite Coin,Scrypt,True,PoW,90595753018.6314,90600000000
IOCoin,X11,True,PoW/PoS,17650913.974345602,22000000
IXcoin,SHA-256,True,PoW,21089348.999,21000000
JumBucks Coin,X11,True,PoW/PoS,0.0,3293010
JudgeCoin,X13,True,PoW/PoS,0.0,21600000
KrugerCoin,Scrypt,True,PoW,151447649.8,265420800
LuckyCoin,Scrypt,True,PoW,19326319.14375,20000000
Litebar ,Scrypt,True,PoW,1104344.22938102,1350000
LitecoinDark,Scrypt,True,PoW,0.0,82003200
LibrexCoin,X11,True,PoW/PoS,0.0,1000000
MaxCoin,SHA3,True,PoW/PoS,61445805.0,100000000
MegaCoin,Scrypt,True,PoW,38151999.993099704,42000000
MediterraneanCoin,HybridScryptHash256,True,PoW,40431856.9,200000000
MintCoin,Scrypt,True,PoS,21293925445.4969,0
MinCoin,Scrypt,True,PoW,5804204.88794916,10000000
MazaCoin,SHA-256,True,PoW/PoS,1613836099.99999,2419200000
Nautilus Coin,Scrypt,True,PoS,16180000.0,16180000
NavCoin,X13,True,PoW/PoS,66087096.20771079,0
NoirBits,SHA-256,True,PoW,0.0,50000000
NobleCoin,Scrypt,True,PoW,2366066305.76482,15000000000
Namecoin,SHA-256,True,PoW,14736400.0,21000000
NyanCoin,Scrypt,True,PoW,334709223.48313797,337000000
OpalCoin,X13,True,PoW/PoS,15156364.3306548,0
Orbitcoin,NeoScrypt,True,PoW/PoS,3220616.279225,3770000
PotCoin,Scrypt,True,PoW/PoS,222677226.014206,420000000
PhoenixCoin,Scrypt,True,PoW/PoS,73959274.625,98000000
Reddcoin,Scrypt,True,PoW/PoS,29315567169.0888,0
RipOffCoin,Scrypt,True,PoW,0.0,12000000
RonPaulCoin,Scrypt,True,PoW,1104157.42169891,21000000
StableCoin,Scrypt,True,PoW,24215181.725,250000000
ShieldCoin,X15,True,PoW/PoS,0.0,1000000
SilkCoin,Scrypt,True,PoW/PoS,0.0,1000000
SmartCoin,Scrypt,True,PoW,25593737.1355044,51200000
SpainCoin,Scrypt-n,True,PoW,0.0,50000000
SecureCoin,Scrypt,True,PoW,0.0,21000000
SuperCoin,X11,True,PoS,50707661.74935179,0
SyncCoin,X11,True,PoW/PoS,1177.0,1000
SysCoin,SHA-256,True,PoW,563336541.299966,888000000
TeslaCoin,Multiple,True,PoS,80260463.7331396,100000000
TigerCoin,SHA-256,True,PoW,43536800.0,47011968
TittieCoin,PHI1612,True,PoS,1622326490.46336,2300000000
TorCoin,X11,True,PoW/PoS,1431851.00002479,10000000
TerraCoin,SHA-256,True,PoW,22935396.0,42000000
Umbrella,SHA-256,True,PoW,0.0,2625000
UnbreakableCoin,SHA-256,True,PoW,2278150.0,80000000
Unobtanium,SHA-256,True,PoW,200911.79151896,250000
UroCoin,X11,True,PoW,1207310.0,0
UnitaryStatus Dollar,Scrypt,True,PoW/PoS,1098952592.6,1600000000
UltraCoin,Scrypt,True,PoW/PoS,50235211.141939,100000000
Utility Coin,X13,True,PoW/PoS,0.0,0
ViaCoin,Scrypt,True,PoW,23150892.167968698,23000000
VootCoin,X11,True,PoW,0.0,0
VeriCoin,Scrypt,True,PoST,32021108.413669605,0
Vertcoin,Lyra2REv2,True,PoW,51173723.81663471,84000000
WorldCoin,Scrypt,True,PoW,119606941.0,265420800
SocialXbotCoin,Scrypt,True,PoW/PoS,0.0,2000000
X11 Coin,X11,True,PoW/PoS,6950831.0970606,5500000
Crypti,Multiple,True,PoS,100000000.0,0
JouleCoin,SHA-256,True,PoW,39195739.362088,45000000
StealthCoin,X13,True,PoW/PoS,33093725.4123502,0
XXXCoin,Scrypt,True,PoW/PoS,0.0,50000000
ZCC Coin,Scrypt,True,PoW/PoS,147990237.978331,1000000000
ByteCoin,CryptoNight,True,PoW,184066828814.0,184467440735
DigitalNote ,CryptoNight,True,PoW,6906587610.38292,10000000000
BurstCoin,Shabal256,True,PoC,1813033920.0,2158812800
StorjCoin,Counterparty,True,PoS,51173144.0,500000000
MonaCoin,Scrypt,True,PoW,68194674.8711679,105120000
Neutron,SHA-256,True,PoW/PoS,39121694.0,68000000
Sling Coin,SHA-256,True,PoW,0.0,1000000
KryptCoin,Scrypt,True,PoS,0.0,17000000
FairCoin,Groestl,True,PoW/PoS,53193831.0,0
Gulden,Scrypt,True,PoW,415032420.0,1680000000
RubyCoin,Scrypt,True,PoS,27184490.3918338,0
PesetaCoin,Scrypt,True,PoW,137517654.41397,166386000
Kore,X13,True,PoW/PoS,2022464.886973,12000000
Wild Beast Coin,Scrypt,True,PoW,181919.2435974,2628000
Dnotes,Scrypt,True,PoS,174646113.934655,500000000
Flo,Scrypt,True,PoW,152270664.860648,160000000
MaieutiCoin,SHA-256,True,PoS,0.0,2014
8BIT Coin,Scrypt,True,PoW/PoS,1467841.0,0
Sativa Coin,X13,True,PoW/PoS,7096834.0,10000000
AeroMe,X13,True,PoW/PoS,0.0,12000000
ArtByte,Scrypt,True,PoW,792537250.0,1000000000
MasterTraderCoin,X11,True,PoW/PoS,0.0,10110000
BitCredit,Momentum,True,PoW,0.0,210000000
Folding Coin,Stanford Folding,True,PoW,719416990.0,1000000000
Ucoin,X11,True,PoS,2689812.0,20000000
Unitus,Multiple,True,PoW,65113302.0,0
CypherPunkCoin,QuBit,True,PoW,6365285.0,0
MaryJane Coin,X15,True,PoW/PoS,0.0,0
OmniCron,Scrypt,True,PoW,10140044.443029301,3371337
CyberCoin,Scrypt,True,PoW/PoS,0.0,0
Vtorrent,Scrypt,True,PoW/PoS,11604722.0,20000000
GreenCoin,Scrypt,True,PoW,4610340640.89,10000000000
Unattanium,SHA-256,True,PoW,0.0,0
Cryptonite,M7 POW,True,PoW,708506520.0,1840000000
Gridmaster,Scrypt,True,PoW,0.0,84000000
ConSpiracy Coin ,X11,True,PoW,0.0,33000000
MasterCoin,Scrypt,True,PoW,619478.0,619478
SoonCoin,SHA-256,True,PoW,12462620.0,21000000
1Credit,Scrypt,True,PoW,88213.0,92000000000
ViorCoin,Scrypt,True,PoW/PoS,0.0,0
IslaCoin,X11,True,PoW/PoS,1513704.0,0
Quicksilver coin,X11,True,PoW,0.0,33000000
Nexus,SHA3,True,PoW/nPoS,63657220.0,78000000
MarsCoin ,X11,True,PoW,32221574.820996,33000000
Singular,Scrypt,True,PoW/PoS,0.0,0
Crypto,Lyra2RE,True,PoW,13742738.0,65789100
Anarchists Prime,SHA-256,True,PoW,14747200.0002,53760000
Droidz,QUAIT,True,PoW/PoS,8568038.35935056,5060000
BowsCoin,X11,True,PoW,15863837.5,21000000
CryptoCircuits,vDPOS,True,PoS,0.0,0
Squall Coin,X11,True,PoS/PoW,329200.01639,0
Milllionaire Coin,X11,True,PoW/PoS,0.0,0
Song Coin,Scrypt,True,PoW,32565300.0,210240000
BitZeny,Scrypt,True,PoW,75614500.0,250000000
Diggits,Scrypt,True,PoS,100000000.0,100000000
Expanse,Ethash,True,PoW,10495278.0,16906397
MapCoin,X11,True,PoS,0.0,2228921.184
Paycon,X13,True,PoW/PoS,23042604.0,50000000
Siacoin,Blake2b,True,PoW,33098296530.0,0
Emercoin,SHA-256,True,PoW/PoS,43059794.804778,1000000000
BlitzCoin,X13,True,PoS,0.0,3852156
EverGreenCoin,X15,True,PoW/PoS,13530556.4180753,26298000
MindCoin,X11,True,PoW,15867695.0,16000000
I0coin,SHA-256,True,PoW,20997476.865023103,21000000
Decred,BLAKE256,True,PoW/PoS,10365046.928166099,21000000
DogeCoinDark,Scrypt,True,PoW,0.0,16500000000
Revolution VR,Scrypt,True,PoW,210000000.0,210000000
HOdlcoin,1GB AES Pattern Search,True,PoW,11448949.0,81962100
EDRCoin,SHA-256,True,PoW/PoS,3669691.84494672,22000000
Hitcoin,X11,True,PoW/PoS,10996318099.0,26550000000
Gamecredits,Scrypt,True,PoW,69836100.0,84000000
Dashcoin,CryptoNight,True,PoW,0.0,18446744
DubaiCoin,SHA-256,True,PoW/PoS,5129014.0,10500000
BiosCrypto,Quark,True,PoW/PoS,0.0,20190463.54969237
CarpeDiemCoin,SHA-256,True,PoW,21739971929.0,21626280000 
PWR Coin,NIST5,True,PoW/PoS,10069449031.9252,0
TrumpCoin,Blake,True,PoS,0.0,12000000
BillaryCoin,Scrypt,True,PoW/PoS,8998743.2411911,42000000
EthereumScrypt,Scrypt,True,PoW/PoS,0.0,4200000
Phalanx,SHA-256,True,PoW,0.0,15000000
SunShotCoin,X11,True,PoW,0.0,2250000000
GPU Coin,Scrypt,True,PoS,40477042.0,221052632
HempCoin,Scrypt-n,True,PoW,0.0,5000000000
Adzcoin,X11,True,PoW,45110324.0,84000000
VirtaCoin,Scrypt,True,PoW,0.0,21000000000
SoilCoin,Dagger,True,PoW,5702048.0,30000000
YoCoin,Scrypt,True,PoW,636462.55983338,168351300
Universal Currency,SHA-256,True,PoW/PoS,0.0,210000000
AEON,CryptoNight-Lite,True,PoW,0.0,18400000
SibCoin,X11GOST,True,PoW,17263355.0,24000000
EuropeCoin,X11,True,PoW/PoS,10407269.788186802,384000000
Anti Bitcoin,SHA-256,True,PoW,0.0,42000000
ZeitCoin,Scrypt,True,PoS,36971236046.8073, 99000000000
SwingCoin,SHA-256,True,PoW/PoS,4377081.60953993,40000000
SafeExchangeCoin,Scrypt,True,PoC,2147483647.0,2147483647
Nebuchadnezzar,PoS,True,PoS,20000000.0,20000000
Francs,Scrypt,True,PoW,6570807.65677618,20000000
Aiden,ScryptOG,False,PoW,84000000.0,84000000
BolivarCoin,X11,True,PoW,13654082.4987998,25000000
GIZMOcoin,X11,True,PoW/PoS,0.0,100000
SecretCoin,X11,True,PoW/PoS,0.0,21000000
Ratecoin,X11,True,PoW/PoS,134554941.15118998,75000000
Digital Bullion Gold,PoS,True,PoS,0.0,15000000
Revenu,SHA-256,True,PoW/PoS,1195525.0,222725000
Clinton,SHA-256,True,PoW,0.0,2421227
Clockcoin,SHA-256,True,PoW/PoS,16662820.0,525000000
VIP Tokens,NIST5,True,PoW/PoS,83450403.0,90000000
OrlyCoin,X15,True,PoW/PoS,0.0,36000000
BitSend,X11,True,PoW/PoS,24387724.5010828,139000000
16BitCoin,NIST5,True,PoW/PoS,0.0,16000000
ChessCoin,Scrypt,True,PoW/PoS,0.0,74666667
ReeCoin,Scrypt,True,PoW/PoS,0.0,350000000
Omni,Scrypt,True,PoW,616448.0,616448
Let it Ride,POS 3.0,True,PoS,38589808.6658096,33500000
PutinCoin,Scrypt,True,PoW/PoS,813092338.575672,2000000000
iBankCoin,Scrypt,True,PoW/PoS,4526324.0,44333333
Frankywillcoin,Scrypt,True,PoW/PoS,100000000.0,100000000
MudraCoin,X13,True,PoS,5000000.0,200000000
PizzaCoin,X11,True,PoW,1377917.0,25000000
Lutetium Coin,X11,True,PoS,657000000.0,657000000
Komodo,Equihash,True,dPoW/PoW,115898131.0,200000000
GoldBlocks,X11,True,PoW/PoS,15563873.0,50000000
WayCoin,X11,True,PoS,0.0,100000000
CarterCoin,Scrypt,True,PoW/PoS,43165500.0,90000000
Karbo,CryptoNight,True,PoW,7822432.72439746,10000000
BitTokens,SHA-256,True,PoW/PoS,595429.0,21000000
ZayedCoin,SHA-256,True,PoW,6243840.0,9736000
MustangCoin,X11,True,PoW/PoS,657636.34549789,3000000
ZoneCoin,Scrypt,True,PoW/PoS,2581970.0,21000000
Circuits of Value,Multiple,True,PoW,1000000000.0,1200000000
RootCoin,Scrypt,True,PoW/PoS,1939889.0,0
DopeCoin,Scrypt,True,PoW,116845228.0,200000000
PROUD Money,X11,True,PoW/PoS,0.0,10000000000
BitCurrency,Scrypt,True,PoS,169598616.0,0
DollarCoin,SHA-256,True,PoW,9106714.0,10638298
Swiscoin,Scrypt,True,PoW/PoW,665200057.0,3100000000
Shilling,Scrypt,True,PoW,11119200.0,30000000
BuzzCoin,SHA-256D,True,PoW/PoS,19577787259.0,20000000000
Opair,PoS,True,PoS,74033806.79496829,74000000
PesoBit,Scrypt,True,PoW/PoS,33522957.0,0
GBR Coin,Scrypt,True,PoW,0.0,87500000
Halloween Coin,X11,True,PoW/PoS,264678458.28861898,1500000000
FujiCoin,Scrypt-n,True,PoW,0.0,10000000
ZCoin,Lyra2Z,True,PoW,7568281.24956067,21400000
LeaCoin,SHA-256,True,PoW,0.0,2000000000
CoffeeCoin,PoS,True,PoS,148716816.0,39999898
RoyalCoin,X13,True,PoS,2500124.0,2500124
Zurcoin,Quark,True,PoW,0.0,126000000
GanjaCoin V2,X14,True,PoW/PoS,100000000.0,100000000
TeamUP,PoS,True,PoS,17818682.1654,301000000
LanaCoin,SHA-256D,True,PoW/PoS,1082162635.5368302,7506000000
Elementrem,Ethash,True,PoW,26205539.0,26205539
CashOut,SHA-256,True,PoW,0.0,100000000
ZClassic,Equihash,True,PoW,5613550.0,21000000
ARK,DPoS,True,DPoS,108202084.0,125000000
InsaneCoin,X11,True,PoW/PoS,18342813.0,30000000
LuckChain,Scrypt,True,PoW/PoS,0.0,1000000000
KiloCoin,Scrypt,True,PoW,196297971.0,10000000000
Hush,Equihash,True,PoW,0.0,21000000
ArtexCoin,X11,True,PoW,824000000.0,500000000
EmberCoin,X13,True,PoW/PoS,92192822723.0,850000000
XenixCoin,X11,True,PoW/PoS,3853326.77707314,3853326.77707314
FreeCoin,PoS,True,PoS,50000000.0,50000000
NPCcoin,SHA-256D,True,PoW/PoS,0.0,7000000000
PLNCoin,Scrypt,True,PoW/PoS,17089600.0,38540000 
Icobid,Scrypt,True,PoW/PoS,0.0,200000000 
AquariusCoin,Scrypt,True,PoW/PoS,2449577.41533168,42000000
Kurrent,X11,True,PoW,61364813.0,228000000
Creatio,PoS,True,PoS,20000000.0,20000000
Eternity,X11,True,PoW/PoS,6069482.07721352,60000000
Eurocoin,SHA-256,True,PoW/PoS,12416554.0,20000000
BitcoinFast,Scrypt,True,PoW/PoS,20244023.640728,33000000
Stakenet,X11,True,TPoS,75590369.0,76500000
BitConnect Coin,Scrypt,True,PoW/PoS,11080722.3769581,28000000
MoneyCoin,Scrypt,True,PoW/PoS,10914418.0,650659833
Enigma,X11,True,PoW/PoS,814671.0,5000000
Cannabis Industry Coin,CryptoNight,True,PoW,978145.0,21000000
Russiacoin,Scrypt,True,PoW/PoS,8377873.0,144000000
PandaCoin,Scrypt,True,PoS,33813143821.8337,32514916898
GameUnits,Scrypt,True,PoW/PoS,3472983.0,13000000
GAKHcoin,Scrypt,True,PoW/PoS,3315789.0,3315789
Allsafe,Quark,True,PoS,10517772.7391666,15000000
LiteCreed,QuBit,True,PoW/PoS,30227750.0,78835200
OsmiumCoin,Scrypt,True,PoW,894026.0,2714286
Bikercoins,CryptoNight,True,PoW,9357088.0,25000000
NeptuneClassic,X11,True,PoW/PoS,0.0,250000000
HexxCoin,Lyra2RE,True,PoW,1876146.4435959999,9999999
GoldenBird,X13,True,PoW/PoS,0.0,450000000
Ride My Car,PoS,True,PoS,0.0,100000000
Klingon Empire Darsek,Scrypt,True,PoW/PoS,23965372.0,500000000
Internet of People,SHA-256,True,PoW/PoS,2526078.47525448,21000000
KushCoin,X11,True,PoW/PoS,5659096.95728771,9354000
Eryllium,X11,True,PoW/PoS,0.0,100000000
MarxCoin,X11,True,PoW,0.0,100640000
Printerium,Scrypt,True,PoW/PoS,11821728.0,20000000
PacCoin,X11,True,PoW,536982074.0,100000000000
Impeach,Scrypt,True,PoW/PoS,308179.0,21933333
Solarflarecoin,Scrypt,True,PoW,0.0,20000000
Citadel,CryptoNight-V7,True,PoW,10969318.522954,185000000
Zilbercoin,Scrypt,True,PoS,2922613.96424908,55000000
FirstCoin,Scrypt,True,PoW/PoS ,110000000.0,110000000
CreativeChain,Keccak,True,PoW,0.0,115000000
BeaverCoin,Scrypt,True,PoW,3115258.0,3360000
FindCoin,X13,True,PoS,14524851.4827,14524851.4827
VaultCoin,X11,True,PoW,30385540.0,1000000000
Zero,Equihash,True,PoW,6921653.89980891,17000000
OpenChat,Scrypt,True,PoW/PoS,1000000000.0,1000000000
Canada eCoin,Scrypt,True,PoW,99843408.3158479,100000000 
Zoin,Lyra2RE,True,PoW,18545757.5,21000000
Musicoin,Ethash,True,PoW,0.0,454898394
BnrtxCoin,X11,True,PoW,0.0,210000000
RenosCoin,Scrypt,True,PoS,36050365.0,34426423
DubaiCoin,Dagger-Hashimoto,True,PoW,2232901.0,2232901
VirtacoinPlus,X11,True,PoW/PoS,13162749.085802699,100000000
TajCoin,Blake2S,True,PoW/PoS,12184195.9258495,36900000
Impact,X11,True,PoW/PoS,110630387.85047099,110000000
EB3coin,Scrypt,True,PoW,64096052.0,4000000000
Universe,Scrypt,True,PoS,0.0,112000000
Atmos,PoS,True,PoS,111135836.889,110290030
HappyCoin,X11,True,PoW/PoS,21521322.0099142,100000000
Coinonat,NIST5,True,PoW,10123200.0,48252000
MacronCoin,PoS,True,PoS,401421401.0,400000000
Condensate,X11,True,PoW/PoS,121665451.643876,500000000
Independent Money System,Scrypt,True,PoW/PoS,5368934.0,21212121
ArgusCoin,Scrypt,True,PoW/PoS,1148324.0,28600000
